Title,Summary,Latitude,Longitude,Cleaned Summary,Category,Mentioned Landmarks,Best Season,Weather Dependency
Puente de Coloso,"El Puente de Coloso(The Coloso Bridge) also known asBridge Number 1142is located in Aguada on PR-418 at the 0.5-kilometer (0.31 mi) marking, between the Guanábano and Espinar barrios in Aguada.\n It is a metal bridge, 25.9 meters (85 ft) long which crosses over theCulebrinas River. The bridge rails are built in awarren trussstyle with steel posts. \n Because the bridge was used for the transport of sugarcane, it was built large enough for truck access. It was built by theCentral Coloso, a sugarcane mill for itsrailway transport systemof sugarcane harvest. The bridge allowed access to nearbyGuanábanoand Espinar barrios in Aguada, andPuebloin Moca.\n",18.399159,-67.156184,"El Puente de Coloso (The Coloso Bridge), also known as Bridge Number 1142, is located in Aguada on PR-418 at the 0.5-kilometer (0.31 mi) marking, between the Guanábano and Espinar barrios in Aguada. It is a metal bridge, 25.9 meters (85 ft) long, which crosses over the Culebrinas River. The bridge rails are built in a warren truss style with steel posts.

Because the bridge was used for the transport of sugarcane, it was built large enough for truck access. It was built by the Central Coloso, a sugarcane mill for its railway transport system of sugarcane harvest. The bridge allowed access to nearby Guanábano and Espinar barrios in Aguada, and Pueblo in Moca.",Nature,"Central Coloso, Puente de Coloso","Summer, Spring",Yes
Puente de las Calabazas,"Puente de las Calabazasis a single-span lattice girder bridge over theCuyón RivernearCoamo, Puerto Ricoon theCarreterra Centralthat dates from 1882. It was designed by Ricardo (or Raimundo?) Camprubi and was fabricated by Eugen Rollin and Co., a Belgian firm that exported via Spain fromBraine le Comte, Belgium. Prolific engineer Camprubí designed several single span lattice bridges in Puerto Rico. He also designed the first two-span lattice girder bridge in Puerto Rico, thePadre Inigo Bridge(in Coamo, No. 174), which is also NRHP-listed.[1]All of these were part of the Carretera Central.[2]: 13\n It was listed on the U.S.National Register of Historic Placesin 2009.[1]\n \n",18.088056,-66.313333,"Puente de las Calabazas is a single-span lattice girder bridge over the Cuyón River near Coamo, Puerto Rico on the Carretera Central that dates from 1882. It was designed by Ricardo (or Raimundo?) Camprubí and was fabricated by Eugen Rollin and Co., a Belgian firm that exported via Spain from Braine le Comte, Belgium. Prolific engineer Camprubí designed several single-span lattice bridges in Puerto Rico. He also designed the first two-span lattice girder bridge in Puerto Rico, the Padre Inigo Bridge (in Coamo, No. 174), which is also NRHP-listed. All of these were part of the Carretera Central. It was listed on the U.S. National Register of Historic Places in 2009.","Nature, Museums, Historical","Puente de las Calabazas, Puerto Rico","Summer, Spring",Yes
Puente No. 6,"Puente No. 6, inCaguas, Puerto Rico is a historic bridge which was built in 1856. It was listed on theNational Register of Historic Placesin 2009 and is located atPuerto Rico Highway 798, Km. 1.0 inRío Cañasbarrio.[1]\n It has also been known as Bridge #6, as Ponton La Concepcion, and as (La) Concepcion Bridge.[1][2]It spans theCañas River.[2]It is a brickbarrel vaultbridge.[1]It was built as part of the Río Piedras-Caguas highway program.[3][2]\n The image at right is fromOur Islands and their Peopleby Jose de Olivares, published in 1899 after the Spanish-American War.\n",18.28583,-66.04306,"Puente No. 6, in Caguas, Puerto Rico, is a historic bridge which was built in 1856. It was listed on the National Register of Historic Places in 2009 and is located at Puerto Rico Highway 798, Km. 1.0 in Río Cañas barrio. It has also been known as Bridge #6, as Ponton La Concepcion, and as (La) Concepcion Bridge. It spans the Cañas River. It is","Nature, Historical","Puente No. 6, Puerto Rico","Summer, Spring",Yes
"Puerta de Tierra, San Juan","Puerta de Tierrais asubbarrio(subdistrict) occupying the eastern portion of theIslet of San Juanand thebarrioofSan Juan Antiguoin themunicipalityofSan Juan,Puerto Rico. The name Puerta de Tierra (Spanishforland gate) derives from the former eastern gated entrance to thewalled city of San JuanwherePlaza Colón(formerly Santiago Square, named after thePuerta de Santiago) is today. With a population of 2,924 as of 2010, this is the most populated area of San Juan Antiguo. On October 15, 2019, it was added to theNational Register of Historic Places.[1]\n Before the arrival of the Europeans to Puerto Rico, Puerta de Tierra (along with Old San Juan) formed part of a smaller islet which was populated by theTaíno. Remains of a small indigenous fishing village have been found where thePuerto Rico National Guard Museumstands today, however most archaeological sites in the area have been destroyed and lost during the construction of the Muñoz Rivera Avenue and surrounding buildings.[2]\n The Spanish began the colonization of Puerto Rico in 1508 when Juan Ponce de León foundedCaparra, the first permanent settlement in the island, located in the southern part of theBay of San Juan(today part ofGuaynabo). This Spanish village was abandoned in 1519 when the Spanish founded the settlement ofPuerto Rico de San Juan Bautista(modern-day Old San Juan) across the bay. The area where Puerta de Tierra is located became critical for the settlement and the defense of the Islet of San Juan as it represented the closest part of the islet to the main island of Puerto Rico. This area, later referred to asEl Boquerón, was separated from the main island by the San Antonio strait (today known as the San Antonio Channel). The first bridge across the San Antonio Channel was built by enslaved Taínos between 1520 and 1521 as entrusted by theOrder of Saint Jerome(or Hieronymites).[2]\n",18.46167,-66.09639,"Puerta de Tierra is a subbarrio (subdistrict) occupying the eastern portion of the Islet of San Juan and the barrio of San Juan Antiguo in the municipality of San Juan, Puerto Rico. The name Puerta de Tierra (Spanish for ""land gate"") derives from the former eastern gated entrance to the walled city of San Juan where Plaza Colón (formerly Santiago Square, named after the Puerta de Santiago) is today. With a population of 2,924 as of 2010, this is the most populated area of San Juan Antiguo. On October 15, 2019, it was added to the National Register of Historic Places.

Before the arrival of the Europeans to Puerto Rico","Urban, Historical","Plaza Colón, Puerto Rico",Year-round,No
Puerto Del Rey Marina,"Puerto del Rey Marinais amarinainFajardo, Puerto Rico. With a capacity of over 2,000 boats, it is one of the largest marinas in theCaribbean.[1][2]\n Completed in 1988 and then re-done in 2014, Puerto del Rey Marina is operating at near its capacity of nearly 1,000 wet slips on concrete fixed piers and over 750 dry-stack spaces for smaller boats three-high, with extra spaces along piers and at anchor for transient boats.[3]\n Open year-round, the marina\'s busiest boating season is from October through April. Boats range in size from 30 feet up to 150-foot yachts.[4]\n",18.287297,-65.636497,"Puerto del Rey Marina is a marina in Fajardo, Puerto Rico. With a capacity of over 2,000 boats, it is one of the largest marinas in the Caribbean. Completed in 1988 and then redone in 2014, Puerto del Rey Marina is operating at near its capacity of nearly 1,000 wet slips on concrete fixed piers and over 750 dry-stack spaces for smaller boats three-high, with extra spaces along piers and at anchor for",Urban,"Puerto Del Rey Marina, Puerto Rico",Unknown,No
Puerto Rico,"\n \n Puerto Rico[i](Spanishfor 'rich port'; abbreviatedPR),[21]officially theCommonwealth of Puerto Rico,[b][j]is aself-governingCaribbeanarchipelago and islandorganized as anunincorporated territoryof theUnited Statesunder the designation ofcommonwealth. Located about 1,000 miles (1,600 km) southeast ofMiami,Florida, between theDominican Republicin theGreater Antillesand theU.S. Virgin Islandsin theLesser Antilles, it consists of theeponymousmain island and numerous smaller islands, includingVieques,Culebra, andMona. With approximately 3.2 millionresidents, it is divided into78 municipalities, of which the most populous is thecapitalmunicipality ofSan Juan.[21]SpanishandEnglishare theofficial languagesof theexecutive branchofgovernment,[23]though Spanish predominates.[24]\n",18.2,-66.5,"Puerto Rico (Spanish for 'rich port'; abbreviated PR), officially the Commonwealth of Puerto Rico, is a self-governing Caribbean archipelago and island organized as an unincorporated territory of the United States under the designation of commonwealth. Located about 1,000 miles (1,600 km) southeast of Miami, Florida, between the Dominican Republic in the Greater Antilles and the U.S. Virgin Islands in the Lesser Antilles, it consists of the eponymous main",Beaches,Puerto Rico,"Summer, Spring",Yes
Puerto Rico Convention Center,"TheDr. Pedro Rosselló González Puerto Rico Convention Center(PRCC) (orCentro de Convenciones de Puerto Rico Dr. Pedro Rosselló Gonzálezin Spanish),[1]or simplyPuerto Rico Convention Center, is aconvention centerlocated inIsla Grande(recently named theConvention Center District), inSan Juan, Puerto Ricoowned by the Puerto Rico Convention Center District Authority, agovernment agency of Puerto Rico, and managed by ASM Global[1]. With a total space of 600,000-square-foot (55,742 m2)[2]and designed bytvsdesign, it is the largest convention center in theCaribbeanand one of the most technologically advanced in theAmericas.[2]\n The Convention Center includes a 152,700-square-foot (14,190 m2) Exhibition Hall that can seat up to 16,965 people and a 39,500-square-foot (3,670 m2) ballroom that can accommodate up to 4,158 people. All in all, approximately 30,000 people can be accommodated within the center simultaneously and can handle conventions of organizations as large as 10,000 participants.[3]The current PRCC general manager is Jorge Pérez.\n The center is operated by thePuerto Rico Convention Center District Authority, which also operates theJosé Miguel Agrelot Coliseum, also known as the ""Choliseo"", and the Government Reception Center, known as theAntiguo Casino de Puerto Rico, in Old San Juan, as well as the 113-acre district on which the Convention Center and the attached Sheraton hotel are located. Its current executive director is Omar Marrero.\n",18.452778,-66.0925,"The Dr. Pedro Rosselló González Puerto Rico Convention Center (PRCC) (or Centro de Convenciones de Puerto Rico Dr. Pedro Rosselló González in Spanish), or simply Puerto Rico Convention Center, is a convention center located in Isla Grande (recently named the Convention Center District), in San Juan, Puerto Rico owned by the Puerto Rico Convention Center District Authority, a government agency of Puerto Rico, and managed by ASM Global. With a total space of 600,000 square feet (55,742 m2) and designed by tvsdesign, it is the largest convention center in the Caribbean and one of the most technologically advanced in the Americas. The Convention Center includes a 152,700-square-foot (",Urban,"Puerto Rico, Puerto Rico Convention Center",Unknown,No
Puerto Rico Iron Works,"\n\n Puerto Rico Iron Works(founded asPorto Rico Iron Works) was aheavy industryironfoundrylocated inbarrioLa PlayainPonce, Puerto Rico. The company was founded in 1918.[1]The foundry ""was Puerto Rico\'s most prolific steel bridge fabricator in the 20th Century""[2]and the largest iron foundry in theAntilles.[3]At its peak, it employed over 700 people.[4]It closed in 1973.[5]\n Puerto Rico Iron Works (PRIW) was founded by Antonio Ferré Bacallao,[6]an 1896 immigrant fromCuba, whose father was a French engineer that had worked in the construction of thePanama Canal.[7]Antonio Ferré\'s family would become one of the most legendary families in Puerto Rico: one of his sons,Luis A. Ferré, became governor of the island from 1969 to 1973, and one of his daughters,Isolina Ferré, known asThe Mother Teresa of Puerto Rico, received thePresidential Medal of Freedomfrom PresidentBill Clintonin 1999 for her outstanding role in community activities, including the founding of a small hospital and school in Playa de Ponce next to the iron foundry calledCentro de Orientacion y Servicios. \n",17.9822,-66.6200806,"Puerto Rico Iron Works (founded as Porto Rico Iron Works) was a heavy industry iron foundry located in barrio La Playa in Ponce, Puerto Rico. The company was founded in 1918. The foundry was Puerto Rico's most prolific steel bridge fabricator in the 20th Century and the largest iron foundry in the Antilles. At its peak, it employed over 700 people. It closed in 1973.

Puerto Rico Iron Works (PRIW) was founded by Antonio Ferré Bacallao, an 1896 immigrant from Cuba, whose father was a French engineer that had worked in the construction of the Panama Canal. Antonio Ferré's family would become one of the most legendary families in Puerto Rico: one of his sons, Luis A. Ferré, became governor of the island from 1969 to 1973, and one of his daughters, Isolina Ferré, known as The Mother Teresa of Puerto Rico, received the",Beaches,"Puerto Rico, Puerto Rico Iron Works","Summer, Spring",Yes
Puerto Rico Museum of Contemporary Art,"The Puerto Rico Museum of Contemporary Art, often abbreviated toMAC, is acontemporary artmuseuminSanturce, Puerto Rico.\n The museum was founded by artists and sponsors of thecivil societyand was officially instituted on October 8, 1984 as a non-profit organization. After its incorporation, the Museum offered its services in public spaces likePlaza Las Américasand amongst offices of known contributors.\n In 1988, theUniversity of the Sacred Heartgranted the museum a provisional home free of charge at the Magdalena Sofía Barat building. After 15 years, the museum officially petitioned the government to grant them the Labra Historical Building inSanturce. On October 20, 2002, the museum and GovernorSila Calderónsigned a contract granting the museum the rights for the building.\n",18.450072,-66.074406,"The Puerto Rico Museum of Contemporary Art, often abbreviated to MAC, is a contemporary art museum in Santurce, Puerto Rico. The museum was founded by artists and sponsors of the civil society and was officially instituted on October 8, 1984 as a non-profit organization. After its incorporation, the Museum offered its services in public spaces like Plaza Las Américas and amongst offices of known contributors. In 1988, the University of the Sacred Heart granted the museum a provisional home free of charge at the Magdalena Sofía Barat building. After 15 years, the museum officially petitioned the government to grant them the Labra Historical Building in Santurce. On October 20, 2002, the museum and Governor Sila Calderón signed a contract granting the museum the rights for the building.","Urban, Museums, Historical","Puerto Rico, Puerto Rico Museum of Contemporary Art",Year-round,No
Puerto Rico National Library,"ThePuerto Rico National Library(Spanish:Biblioteca Nacional de Puerto Rico) is thenational libraryofPuerto Rico. It was created in 1967 as theBiblioteca General de Puerto Rico(Puerto Rico General Library) by Joint Resolution No. 44 of the Puerto Rico Legislature.[2]It opened on April 11, 1973.[3]In 2003 it was renamedBiblioteca Nacional de Puerto Ricoby Act 188 of August 17 of that year.[4]The library is ascribed to theInstitute of Puerto Rican Culture.\n The Library shares its nineteenth-century classical building, (at one time theBacardi Rumflagship factory[citation needed]), with theGeneral Archives of Puerto Rico. The Library\'sspecialized collectionsinclude the Dominican Collection of leather-bound religious books dating from the 16th-19th centuries, theEugenio Maria de HostosCollection, which includes 1,300 digitized manuscripts, and the private collection ofConcha Meléndez, literary critic and former professor at theUniversity of Puerto Rico.[5]\n The building is located in thePuerta de Tierra historic districton theIslet of San Juan. It faces theLuis Muñoz Rivera Park. It is fully air\xe2\x80\x90conditioned and has free Internet access. The Library and Archives share a 119-seat amphitheater at street level where each one has its individual side desk, with an unobstructed view.[6]The building was listed on theNational Register of Historic Placesin 1976 under its former name,Carcel de Puerta de Tierra,[1]and on thePuerto Rico Register of Historic Sites and Zonesin 2000 under the nameArchivo y Biblioteca General.[7]\n",18.4638,-66.0923,"The Puerto Rico National Library (Spanish: Biblioteca Nacional de Puerto Rico) is the national library of Puerto Rico. It was created in 1967 as the Biblioteca General de Puerto Rico (Puerto Rico General Library) by Joint Resolution No. 44 of the Puerto Rico Legislature. It opened on April 11, 1973. In 2003, it was renamed Biblioteca Nacional de Puerto Rico by Act 188 of August 17 of that year. The library is ascribed to the Institute of Puerto Rican Culture.

The Library shares its nineteenth-century classical building (at one time the Bacardi Rum flagship factory), with the General Archives of Puerto Rico. The Library's specialized collections include the Dominican Collection of leather-bound religious books dating",Unknown,"Puerto Rico, Puerto Rico National Library",Unknown,No
Punta Borinquen Light,"Punta Borinquen Light(Faro de Punta Borinquen) is a lighthouse located in the oldRamey Air Force BaseinAguadilla, Puerto Rico.[3]The station was established in 1889 by theSpanish government. With the opening of thePanama Canalin 1914, the lighthouse would become ""the most important aid to navigation on the route from Europe to Panama"".[4]In 1917, the U.S Congress provided funding for a new lighthouse in higher ground.\n But before construction began on the new structure, the original lighthouse was severely damaged by the1918 earthquakethat struck the west part of the island.[1][5]Construction on the new lighthouse was completed in 1922. The light is active aid to navigation and is a housing facility for theUnited States Coast Guard.[6]\n \n",18.48869,-67.16163,"Punta Borinquen Light (Faro de Punta Borinquen) is a lighthouse located in the old Ramey Air Force Base in Aguadilla, Puerto Rico. The station was established in 1889 by the Spanish government. With the opening of the Panama Canal in 1914, the lighthouse would become ""the most important aid to navigation on the route from Europe to Panama"". In 1917, the U.S. Congress provided funding for a new lighthouse in higher ground. Before construction began on the new structure, the original lighthouse was severely damaged by the 1918 earthquake that struck the west part of the island. Construction on the new lighthouse was completed in 1922. The light is an active aid to navigation and is a housing facility for the United States Coast Guard.","Museums, Beaches","Puerto Rico, Punta Borinquen Light","Summer, Spring",Yes
Punta de las Figuras Light,"Punta de las Figuras Light(Spanish:Faro Punta de las Figuras) is an historic lighthouse located inArroyo, Puerto Rico. It was first lit by theSpanishgovernment in 1893.[2]The light was relocated in 1938, and the structure was deactivated and abandoned. DuringWorld War II, thelighthousewas used as a lookout. After the U.S. Army abandoned the structure in 1963, the lighthouse was repeatedly vandalized. In 1969 the lens and lantern were destroyed.[3]The lighthouse was again damaged byHurricane Mariaon September 20, 2017. The light housing is broken, all of the windows are boarded up, and several of the surrounding light pole fixtures are downed. The interior is currently inaccessible.\n The lighthouse was listed to the U.S.National Register of Historic Placesin 1981,[4]and to thePuerto Rico Register of Historic Sites and Zonesin 2001.[5]In 2003, the Puerto Rican government rehabilitated it at a cost of two million dollars. The lighthouse is located at the entrance of theBalneario Punta Guilartebeach resort managed by the Puerto Rico National Parks Company.[3]\n \n",17.9549778,-66.0476556,"Punta de las Figuras Light (Spanish: Faro Punta de las Figuras) is a historic lighthouse located in Arroyo, Puerto Rico. It was first lit by the Spanish government in 1893. The light was relocated in 1938, and the structure was deactivated and abandoned. During World War II, the lighthouse was used as a lookout. After the U.S. Army abandoned the structure in 1963, the lighthouse was repeatedly vandalized. In 1969, the lens and lantern were destroyed. The lighthouse was again damaged by Hurricane Maria on September 20, 2017. The light housing is broken, all of the windows are boarded up, and several of the surrounding light pole fixtures are downed. The interior is currently inaccessible. The lighthouse was listed on the U.S. National Register of Historic Places in 1981, and on the Puerto Rico Register of Historic Sites and Zones in 2001. In 200",Historical,"Puerto Rico, Punta de las Figuras Light",Year-round,No
Punta Hig\xc3\xbcero Light,"Punta Hig\xc3\xbcero Light(Spanish:Faro de Punta Hig\xc3\xbcero) is a historic lighthouse located in themunicipalityofRincónon the easternmost point in themain islandofPuerto Rico. The original building was built in 1892 by theSpanishgovernment and was rebuilt in 1922 by theUnited States Coast Guard.[3]\n In 1892 the original light was built as a fixed white, 6th order dioptric station and had a 6-mile-range (9.7 km) light beam. According to theHistoric American Engineering Record, ""ItsMediterraneanappearance came from an elaborate combination of exposed and indented brick work in the facadesaround doors and windowsand corners.""[4]The ""castle"" look was further emphasized by reddishstuccoimitating stone-work on all facades and the very elaborate exposed brick cornice topped by a parapet built in lace-like brick-work. Thelighthousewas severely damaged by the1918 earthquakethat struck the west part of the island.\n The new light was placed in commission on January 12, 1922.[5]The building suffered fire damage after the light was automated in 1933 and was later razed. The town of Rincón builtEl Faro Parkaround the lighthouse, a popular spot for surfing and whale watching.[6]\n",18.362028,-67.270972,"Punta Higuero Light (Spanish: Faro de Punta Higuero) is a historic lighthouse located in the municipality of Rincón on the easternmost point in the main island of Puerto Rico. The original building was built in 1892 by the Spanish government and was rebuilt in 1922 by the United States Coast Guard. In 1892, the original light was built as a fixed white, 6th order dioptric station and had a 6-mile range (9.7 km) light beam. According to the Historic American Engineering Record, ""Its Mediterranean appearance came from an elaborate combination of exposed and indented brickwork in the facades around doors and windows and corners."" The ""castle"" look was further emphasized by reddish stucco imitating stonework on all facades and the very elaborate exposed brick cornice topped by a parapet built in lace-like brickwork. The lighthouse was severely damaged by the 191","Historical, Beaches",Puerto Rico,"Summer, Spring",Yes
Punta Mulas Light,"Punta Mulas Light, also known asFaro de Vieques, is a historic lighthouse located in the north shore ofVieques, an island-municipality ofPuerto Rico. It was first lit in 1896 and automated in 1949.[2]Punta Mulas Light was the second lighthouse built on Vieques after the Puerto Ferro Light. The light was established to guide through the dangerous passage formed by a chain of reefs. It was of key importance for navigation in the San Juan Passage.[3]\n In 1992, the lighthouse was restored in celebration of the 500th anniversary ofChristopher Columbus\'s first voyage to America. The structure houses a museum featuring the maritime history of Vieques and theAmericasas well as other historical exhibits.[4]It\'s listed in both theU.S. National Register of Historic Placesand thePuerto Rico Register of Historic Sites and Zones.[5]\n \n",18.154472,-65.443833,"Punta Mulas Light, also known as Faro de Vieques, is a historic lighthouse located on the north shore of Vieques, an island-municipality of Puerto Rico. It was first lit in 1896 and automated in 1949. Punta Mulas Light was the second lighthouse built on Vieques after the Puerto Ferro Light. The light was established to guide ships through the dangerous passage formed by a chain of reefs. It was of key importance for navigation in the San Juan Passage.

In 1992, the lighthouse was restored in celebration of the 500th anniversary of Christopher Columbus's first voyage to America. The structure houses a museum featuring the maritime history of Vieques and the Americas, as well as other historical exhibits. It is listed in both the U.S. National Register of Historic Places and the Puerto Rico Register of Historic Sites and Zones.","Museums, Historical, Beaches","Puerto Rico, Punta Mulas Light","Summer, Spring",Yes
"Punta Santiago, Humacao, Puerto Rico","Punta Santiagois abarrioand fishing community located in the municipality ofHumacao, Puerto Rico. Its population in 2020 was 3,716.[3][4]Located in the estuary of Humacao, Punta Santiago is famous for its fishing heritage, its iconic pier andCayo Santiago, popularly known as Monkey Island (Spanish:Isla de de los Monos) after itsRhesus macaquepopulation. The barrio is also the home of theHumacao Nature Reserveand the Punta Santiago Beach and Vacation Area.[5]Punta Santiago is one of the most vulnerable barrios tofloodingand complete destruction wheneverhurricanesenter Puerto Rico through the area of Humacao.\n The fishing village of Punta Santiago was originally calledPlaya de Humacaoas it was the closest beach toHumacao Pueblo, the historic and administrative downtown area of Humacao.[6]The community of Punta Santiago used to be part of two former barrios of Humacao, one called Humacao Playa and the other called Mabú. By the end of the 19th century barrio Mabú had been eliminated and incorporated into barrio Playa, now renamed Punta Santiago after the geographicalheadlandorpoint(punta) where the fishing village is located.[7]\n Since December 1938,Cayo Santiago, located immediately off Punta Santiago, has been the home to a population of free roamingRhesus macaquesimported fromIndiaby theSchool of Tropical MedicineinSan Juan, theColumbia University College of Physicians and Surgeonsand theUniversity of Puerto Rico.\n",18.164424,-65.750547,"Punta Santiago is a barrio and fishing community located in the municipality of Humacao, Puerto Rico. Its population in 2020 was 3,716. Located in the estuary of Humacao, Punta Santiago is famous for its fishing heritage, its iconic pier, and Cayo Santiago, popularly known as Monkey Island (Spanish: Isla de los Monos) after its Rhesus macaque population. The barrio is also the home of the Humacao Nature Reserve and the Punta Santiago Beach and Vacation Area. Punta Santiago is one of the most vulnerable barrios to flooding and complete destruction whenever hurricanes enter Puerto Rico through the area of Humacao.

The fishing village of Punta Santiago was originally called Playa de","Nature, Beaches","Humacao Nature Reserve, Puerto Rico","Summer, Spring",Yes
Punta Tuna Light,"Punta Tuna Lightis a historic lighthouse located in the southeast of the town ofMaunabo, Puerto Ricoon a narrow promontory at the southeasternmost point of the island.\n It was first lit in 1892 and automated in 1989. The light was a third-order lighthouse that served as the primary light connecting the island\'s southern and eastern lights system. The design was drawn and laid out by Joaquin Gisbert in 1890. The lighthouse construction was initially overseen by Adrian Duffaut. It was built from March 13, 1891, to September 29, 1893. Final construction was taken over by the Spanish Body of Engineers according to annotations of the historian Carlos Moral. It was originally namedFaro de Mala Pascuaafter the cape to the west. Later, it was moved and renamed after the Point of the construction site so the light could perform a double duty warning ships off the Sargent reef. On August 8, 1899, the lighthouse suffered damage from Hurricane San Ciriaco; the town suffered heavy damage. \n On April 12, 1900, an act of Congress (31 Stat. L., 77, 80) extended the jurisdiction of the Lighthouse Service to the noncontiguous territory of Puerto Rico and adjacent American waters. 1900 (1 May) The Lighthouse Board took charge of the Puerto Rico lighthouses. September 13, 1928, Devastating Hurricane San Felipe II strikes, again the lighthouse stands firm, but the town housing is nearly totally destroyed.[2]It was once again damaged byHurricane Mariaon Sept 20, 2017. The light\'s housing, the external facade, and the surrounding vegetation were all damaged, with some trees completely downed. It was listed on theU.S. National Register of Historic Placesin 1981,[1]and on thePuerto Rico Register of Historic Sites and Zonesin 2001.[3]\n",17.988306,-65.885417,"Punta Tuna Light is a historic lighthouse located in the southeast of the town of Maunabo, Puerto Rico on a narrow promontory at the southeasternmost point of the island. It was first lit in 1892 and automated in 1989. The light was a third-order lighthouse that served as the primary light connecting the island's southern and eastern lights system. The design was drawn and laid out by Joaquin Gisbert in 1890. The lighthouse construction was initially overseen by Adrian Duffaut. It was built from March 13, 1891, to September 29, 1893. Final construction was taken over by the Spanish Body of Engineers according to annotations of the historian Carlos","Historical, Beaches","Puerto Rico, Punta Tuna Light","Summer, Spring",Yes
Quebradillas barrio-pueblo,"Quebradillas barrio-pueblois abarrioand the administrative center (seat) ofQuebradillas, a municipality of Puerto Rico. Its population in 2010 was 3,103.[1][4][5][6]\n As was customary in Spain, in Puerto Rico, the municipality has a barrio calledpueblowhich contains a central plaza, the municipal buildings (city hall), and a Catholic church.Fiestas patronales(patron saint festivals) are held in the central plaza every year.[7][8]\n The central plaza, or square, is a place for official and unofficial recreational events and a place where people can gather and socialize from dusk to dawn. TheLaws of the Indies, Spanish law, which regulated life in Puerto Rico in the early 19th century, stated the plaza\'s purpose was for ""the parties"" (celebrations, festivities) (Spanish:a propósito para las fiestas), and that the square should be proportionally large enough for the number of neighbors (Spanish:grandeza proporcionada al\nnúmero de vecinos). These Spanish regulations also stated that the streets nearby should be comfortable portals for passersby, protecting them from the elements: sun and rain.[7]\n",18.472467,-66.938323,"Quebradillas barrio-pueblo is a barrio and the administrative center (seat) of Quebradillas, a municipality of Puerto Rico. Its population in 2010 was 3,103. As was customary in Spain, in Puerto Rico, the municipality has a barrio called pueblo which contains a central plaza, the municipal buildings (city hall), and a Catholic church. Fiestas patronales (patron saint festivals) are held in the central plaza every year. The central plaza, or square, is a place for official and unofficial recreational events and a place where people can gather and socialize from dusk to dawn. The Laws of the Indies, Spanish law, which regulated life in Puerto Rico in the early 19th century, stated the plaza's purpose was for ""the parties"" (celebrations, festivities) (Spanish: a propósito para las fiestas), and that the square should be proportionally large enough for the number of neighbors (Spanish","Urban, Museums, Religious","Puerto Rico, Quebradillas barrio-pueblo",Year-round,No
Residencia Aboy-Lompré,"TheAboy-Lompré Residence(Spanish:Residencia Aboy-Lompré), also known as theAboy House(Casa Aboy), is a historic house built inSan Juan, Puerto Ricobetween 1910 and 1912 for the Aboy-Ferrer Family. The house now hosts several cultural and religious institutions including theShaare Zedeck Synagogueand theJewish Community Center of Puerto Rico,[2]and aphotojournalismmuseum.\n The design for Casa Aboy was the product of various architects, among themAntonin Nechodoma, a disciple ofFrank Lloyd Wright. Nechodoma, who moved to Puerto Rico around 1905, used a tropical style of architecture which became popular in the island. Puerto Rican architect Miguel Ferrer and engineer Francisco Pons also worked on the property\'s design with the purpose of taking advantage of the north breezes and natural light of the location. Pons and Ferrer hired Frank B. Hatch, who had worked with Nechodoma, also put some of his ideas in the design of the house. Finally, Ramón Aboy Lompré made his own suggestions for the house, which he would inhabit.\n The house entrance features an ample house-wide porch with two posts, typical of Nechodoma\'s style. The attic windows were altered to adorn the front of the house, and the tinted glass were bought on theDominican Republic. Aside of the porch, it also features ornamental tiles, a double interior staircase, and the style of the roof are all Nechodoma\'s trademarks. However, unlike his style, the house features big rooms, and a wide hallway.[3]\n",18.454349,-66.080696,"The Aboy-Lompré Residence (Spanish: Residencia Aboy-Lompré), also known as the Aboy House (Casa Aboy), is a historic house built in San Juan, Puerto Rico between 1910 and 1912 for the Aboy-Ferrer Family. The house now hosts several cultural and religious institutions including the Shaare Zedeck Synagogue and the Jewish Community Center of Puerto Rico, and a photojournalism museum. The design for Casa Aboy was the product of various architects, among them Antonin Nechodoma, a disciple of Frank Lloyd Wright. Nechodoma, who moved to Puerto Rico around 1905, used a tropical style of architecture which became popular on the","Museums, Historical","Puerto Rico, Residencia Aboy-Lompré",Year-round,No
